1: 5.85x
2: 11.57x
3: 9.77x
4: 14.33x
5: 14.91x
6: 19.44x
7: 20.18x
8: 24.26x
9: 25.81x
10: 26.97x
11: 30.05x
12: 30.09x
13: 33.88x
14: 36.48x
15: 38.57x
16: 38.74x
17: 42.01x
18: 42.89x
19: 46.15x
20: 50.95x
21: 50.95x
22: 54.94x
23: 55.58x
24: 39.82x
25: 54.26x
26: 46.88x
27: 67.13x
28: 69.37x
29: 56.28x
30: 49.68x
31: 62.82x
32: 75.86x
33: 80.49x
34: 75.19x
35: 76.91x
36: 76.34x
37: 83.43x
38: 62.81x
39: 85.99x
40: 63.99x
41: 68.98x
42: 81.21x
43: 50.44x
44: 64.37x
45: 70.16x
46: 88.85x
47: 87.61x
48: 95.31x
49: 95.26x
50: 95.68x
51: 62.73x
52: 61.29x
53: 71.44x
54: 62.49x
55: 100.09x
56: 77.58x
57: 57.66x
58: 59.87x
59: 90.44x
60: 78.24x
61: 50.83x
62: 96.34x
63: 65.28x
64: 87.09x
